date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:51:37	834/834	U--MCZ	200	updated ('OK')	text/plain	date:Sun,%2018%20Oct%202020%2015:21:37%20GMT	https://www.hopkinsmedicine.org/robots.txt		(from )
20:51:37	26765/26765	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2018%20Oct%202020%2015:21:37%20GMT	https://www.hopkinsmedicine.org/coronavirus/covid-19-self-checker.html	C:/My%20Web%20Sites/hariwebpage/www.hopkinsmedicine.org/coronavirus/covid-19-self-checker.html	(from )
20:51:38	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2018%20Oct%202020%2015:21:37%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/hariwebpage/www.googletagmanager.com/gtm.25445.delayed	(from https://www.hopkinsmedicine.org/coronavirus/covid-19-self-checker.html)
20:51:41	212152/212152	U--MCZ	200	updated ('OK')	text/css	etag:W/%2256d916ed4ba2d61:0%22	https://www.hopkinsmedicine.org/sebin/t/r/main.css	C:/My%20Web%20Sites/hariwebpage/www.hopkinsmedicine.org/sebin/t/r/main.css	(from https://www.hopkinsmedicine.org/coronavirus/covid-19-self-checker.html)
20:51:43	154139/154139	U--MCZ	200	updated ('OK')	text/css	etag:W/%229138ace24ba2d61:0%22	https://www.hopkinsmedicine.org/sebin/b/o/components.css	C:/My%20Web%20Sites/hariwebpage/www.hopkinsmedicine.org/sebin/b/o/components.css	(from https://www.hopkinsmedicine.org/coronavirus/covid-19-self-checker.html)
20:52:05	212152/212152	U-----	200	untouched ('OK')	text/css	etag:W/%22287b18ed4ba2d61:0%22	https://www.hopkinsmedicine.org/sebin/t/r/main.css?v=2.0.1	C:/My%20Web%20Sites/hariwebpage/www.hopkinsmedicine.org/sebin/t/r/main790f.css	(from https://www.hopkinsmedicine.org/coronavirus/covid-19-self-checker.html)
20:52:05	46586/46586	U-----	200	untouched ('OK')	text/css	etag:W/%22215d34638aa1d61:0%22	https://www.hopkinsmedicine.org/sebin/x/g/enterprise-local.css?v=2.0.0	C:/My%20Web%20Sites/hariwebpage/www.hopkinsmedicine.org/sebin/x/g/enterprise-local28b5.css	(from https://www.hopkinsmedicine.org/coronavirus/covid-19-self-checker.html)
20:52:05	163/163	U-----	200	untouched ('OK')	text/css	etag:%22cbc9aab66580d51:0%22	https://www.hopkinsmedicine.org/se/styles/out/5852723FC173F8C0E427B8649818D0CA.css	C:/My%20Web%20Sites/hariwebpage/www.hopkinsmedicine.org/se/styles/out/5852723FC173F8C0E427B8649818D0CA.css	(from https://www.hopkinsmedicine.org/coronavirus/covid-19-self-checker.html)
20:52:05	46586/46586	U--MCZ	200	updated ('OK')	text/css	etag:W/%22215d34638aa1d61:0%22	https://www.hopkinsmedicine.org/sebin/x/g/enterprise-local.css	C:/My%20Web%20Sites/hariwebpage/www.hopkinsmedicine.org/sebin/x/g/enterprise-local.css	(from https://www.hopkinsmedicine.org/coronavirus/covid-19-self-checker.html)
20:52:06	154139/154139	------	200	untouched ('OK')	text/css	etag:W/%2276cbace24ba2d61:0%22	https://www.hopkinsmedicine.org/sebin/b/o/components.css?v=2.0.1	C:/My%20Web%20Sites/hariwebpage/www.hopkinsmedicine.org/sebin/b/o/components790f.css	(from https://www.hopkinsmedicine.org/coronavirus/covid-19-self-checker.html)
20:52:06	75127/75127	------	200	untouched ('OK')	text/html	date:Sun,%2018%20Oct%202020%2014:59:31%20GMT	https://www.hopkinsmedicine.org/coronavirus/for-johns-hopkins-patients.html	C:/My%20Web%20Sites/hariwebpage/www.hopkinsmedicine.org/coronavirus/for-johns-hopkins-patients.html	(from https://www.hopkinsmedicine.org/coronavirus/covid-19-self-checker.html)
20:52:06	63602/63602	------	200	untouched ('OK')	text/html	date:Sun,%2018%20Oct%202020%2014:59:47%20GMT	https://www.hopkinsmedicine.org/coronavirus/visitor-guidelines.html	C:/My%20Web%20Sites/hariwebpage/www.hopkinsmedicine.org/coronavirus/visitor-guidelines.html	(from https://www.hopkinsmedicine.org/coronavirus/covid-19-self-checker.html)
20:52:06	77985/77985	------	200	untouched ('OK')	text/html	date:Sun,%2018%20Oct%202020%2014:59:54%20GMT	https://www.hopkinsmedicine.org/coronavirus/index.html	C:/My%20Web%20Sites/hariwebpage/www.hopkinsmedicine.org/coronavirus/index.html	(from https://www.hopkinsmedicine.org/coronavirus/covid-19-self-checker.html)
20:52:06	46038/46038	------	200	untouched ('OK')	text/html	date:Sun,%2018%20Oct%202020%2015:00:01%20GMT	https://www.hopkinsmedicine.org/coronavirus/giving.html	C:/My%20Web%20Sites/hariwebpage/www.hopkinsmedicine.org/coronavirus/giving.html	(from https://www.hopkinsmedicine.org/coronavirus/covid-19-self-checker.html)
20:52:06	51270/51270	------	200	untouched ('OK')	text/html	date:Sun,%2018%20Oct%202020%2015:00:03%20GMT	https://www.hopkinsmedicine.org/coronavirus/extraordinary-people/index.html	C:/My%20Web%20Sites/hariwebpage/www.hopkinsmedicine.org/coronavirus/extraordinary-people/index.html	(from https://www.hopkinsmedicine.org/coronavirus/covid-19-self-checker.html)
20:52:06	32674/32674	------	200	untouched ('OK')	text/html	date:Sun,%2018%20Oct%202020%2015:00:19%20GMT	https://www.hopkinsmedicine.org/coronavirus/newsletter	C:/My%20Web%20Sites/hariwebpage/www.hopkinsmedicine.org/coronavirus/newsletter.html	(from https://www.hopkinsmedicine.org/coronavirus/covid-19-self-checker.html)
20:52:06	50073/50073	------	200	untouched ('OK')	text/html	date:Sun,%2018%20Oct%202020%2015:00:26%20GMT	https://www.hopkinsmedicine.org/coronavirus/articles/index.html	C:/My%20Web%20Sites/hariwebpage/www.hopkinsmedicine.org/coronavirus/articles/index.html	(from https://www.hopkinsmedicine.org/coronavirus/covid-19-self-checker.html)
